movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Green Lantern ,436,123,258,326,16000,116593191,Action|Adventure|Sci-Fi,223393,17657,2,550,USA,PG-13,200000000,2011,368,5.6,2.35,24000
Toy Story 3 ,453,103,125,721,15000,414984497,Adventure|Animation|Comedy|Family|Fantasy,544884,19085,3,733,USA,G,200000000,2010,1000,8.3,1.85,30000
Terminator Salvation ,422,118,368,988,23000,125320003,Action|Adventure|Sci-Fi,286095,27468,0,974,USA,PG-13,200000000,2009,3000,6.6,2.35,0
Furious 7 ,424,140,0,14000,26000,350034110,Action|Crime|Thriller,278232,79150,0,657,USA,PG-13,190000000,2015,23000,7.2,2.35,94000
World War Z ,654,123,395,1000,17000,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,465019,32392,0,995,USA,PG-13,190000000,2013,11000,7,2.35,129000
X-Men: Days of Future Past ,539,149,0,20000,34000,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,514125,91434,7,752,USA,PG-13,200000000,2014,22000,8,2.35,82000
Star Trek Into Darkness ,590,132,14000,928,19000,228756232,Action|Adventure|Sci-Fi,395573,21411,0,1171,USA,PG-13,190000000,2013,981,7.8,2.35,92000
Jack the Giant Slayer ,338,114,0,140,979,65171860,Adventure|Fantasy,106416,1766,1,205,USA,PG-13,195000000,2013,557,6.3,2.35,22000
The Great Gatsby ,490,143,1000,77,29000,144812796,Drama|Romance,362912,29770,4,753,Australia,PG-13,105000000,2013,509,7.3,2.35,115000
Prince of Persia: The Sands of Time ,306,116,179,236,15000,90755643,Action|Adventure|Fantasy|Romance,222403,16149,2,453,USA,PG-13,200000000,2010,567,6.6,2.35,23000
Pacific Rim ,575,131,0,919,16000,101785482,Action|Adventure|Sci-Fi,381148,19166,0,1106,USA,PG-13,190000000,2013,968,7,1.85,83000
Transformers: Dark of the Moon ,428,154,0,581,894,352358779,Action|Adventure|Sci-Fi,326180,2593,2,899,USA,PG-13,195000000,2011,829,6.3,2.35,46000
Indiana Jones and the Kingdom of the Crystal Skull ,470,122,14000,1000,11000,317011114,Action|Adventure|Fantasy,333847,14959,2,2054,USA,PG-13,185000000,2008,1000,6.2,2.35,5000
The Good Dinosaur ,298,93,113,113,275,123070338,Adventure|Animation|Comedy|Family|Fantasy,62836,696,0,345,USA,PG,,2015,150,6.8,2.35,20000
Brave ,488,93,56,838,2000,237282182,Adventure|Animation|Comedy|Family|Fantasy,273556,5005,0,428,USA,PG,185000000,2012,1000,7.2,2.35,39000
Star Trek Beyond ,322,122,681,105,998,130468626,Action|Adventure|Sci-Fi|Thriller,53607,1327,4,432,USA,PG-13,185000000,2016,119,7.5,2.35,30000
WALL·E ,421,98,475,522,1000,223806889,Adventure|Animation|Family|Sci-Fi,718837,2975,0,1043,USA,G,180000000,2008,729,8.4,2.35,16000
Rush Hour 3 ,162,91,420,173,268,140080850,Action|Comedy|Crime|Thriller,121084,1125,2,221,USA,PG-13,140000000,2007,268,6.2,2.35,0
2012 ,367,158,776,310,1000,166112167,Action|Adventure|Sci-Fi,283418,2144,0,1055,USA,PG-13,200000000,2009,468,5.8,2.35,13000
A Christmas Carol ,240,96,0,10000,18000,137850096,Animation|Drama|Family|Fantasy,72809,48878,0,249,USA,PG,200000000,2009,14000,6.8,2.35,0
Jupiter Ascending ,384,127,0,13000,17000,47375327,Action|Adventure|Sci-Fi,139593,47334,1,720,USA,PG-13,176000000,2015,15000,5.4,2.35,44000
The Legend of Tarzan ,248,110,282,103,11000,124051759,Action|Adventure|Drama|Romance,42372,21175,2,239,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",284,150,80,82,1000,291709845,Adventure|Family|Fantasy,286506,1317,5,1463,USA,PG,180000000,2005,190,6.9,2.35,0
X-Men: Apocalypse ,396,144,0,1000,34000,154985087,Action|Adventure|Sci-Fi,148379,49684,6,622,USA,PG-13,178000000,2016,13000,7.3,2.35,54000
The Dark Knight ,645,152,22000,11000,23000,533316061,Action|Crime|Drama|Thriller,1676169,57802,0,4667,USA,PG-13,185000000,2008,13000,9,2.35,37000
Up ,408,96,0,262,1000,292979556,Adventure|Animation|Comedy|Family,665575,2635,1,704,USA,PG,175000000,2009,848,8.3,1.85,27000
Monsters vs. Aliens ,219,94,11,459,1000,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,114553,2579,2,187,USA,PG,175000000,2009,973,6.5,2.35,0
Iron Man ,486,126,4000,4000,21000,318298180,Action|Adventure|Sci-Fi,696338,39252,3,1055,USA,PG-13,140000000,2008,12000,7.9,2.35,10000
Hugo ,682,126,17000,1000,17000,73820094,Adventure|Drama|Family|Mystery,245333,36017,0,678,USA,PG,170000000,2011,16000,7.5,1.85,42000
Wild Wild West ,85,106,188,582,10000,113745408,Action|Comedy|Sci-Fi|Western,129601,15870,2,648,USA,PG-13,170000000,1999,4000,4.8,1.85,0
The Mummy: Tomb of the Dragon Emperor ,264,112,357,595,5000,102176165,Action|Adventure|Fantasy|Horror|Thriller,117927,9131,2,501,USA,PG-13,145000000,2008,3000,5.2,2.35,0
Suicide Squad ,418,123,452,329,10000,161087183,Action|Adventure|Comedy|Sci-Fi,118992,11287,8,971,USA,PG-13,175000000,2016,336,6.9,2.35,80000
Evan Almighty ,186,96,293,7000,87000,100289690,Comedy|Family|Fantasy,115099,108016,0,257,USA,PG,175000000,2007,11000,5.4,2.35,2000
Edge of Tomorrow ,585,113,218,509,10000,100189501,Action|Adventure|Sci-Fi,431620,12652,1,741,USA,PG-13,178000000,2014,854,7.9,2.35,77000
Waterworld ,91,176,58,60,711,88246220,Action|Adventure|Sci-Fi|Thriller,144337,1004,0,309,USA,PG-13,175000000,1995,60,6.1,1.85,0
G.I. Joe: The Rise of Cobra ,250,118,208,570,23000,150167630,Action|Adventure|Sci-Fi|Thriller,174578,26683,4,534,USA,PG-13,175000000,2009,2000,5.8,2.35,0
Inside Out ,536,95,0,384,1000,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,345198,2944,1,773,USA,PG,175000000,2015,767,8.3,1.85,118000
The Jungle Book ,370,106,4000,591,19000,362645141,Adventure|Drama|Family|Fantasy,106072,32921,0,398,UK,PG,175000000,2016,13000,7.8,1.85,65000
Iron Man 2 ,453,124,4000,4000,21000,312057433,Action|Adventure|Sci-Fi,522371,48638,4,723,USA,PG-13,200000000,2010,19000,7,2.35,18000
Snow White and the Huntsman ,416,132,274,11000,26000,155111815,Action|Adventure|Drama|Fantasy,228554,72881,0,710,USA,PG-13,170000000,2012,17000,6.1,2.35,53000
Maleficent ,401,97,171,846,11000,241407328,Action|Adventure|Family|Fantasy|Romance,252257,15516,2,634,USA,PG,180000000,2014,2000,7,2.35,89000
Dawn of the Planet of the Apes ,521,130,198,884,10000,208543795,Action|Adventure|Drama|Sci-Fi,317542,14363,0,620,USA,PG-13,170000000,2014,2000,7.6,1.85,45000
The Lovers ,10,109,596,283,622,,Action|Adventure|Romance|Sci-Fi,2138,1982,3,15,Belgium,R,,2015,525,4.5,,677
47 Ronin ,218,128,47,982,18000,38297305,Action|Adventure|Drama|Fantasy,116994,20965,2,324,USA,PG-13,175000000,2013,1000,6.3,2.35,35000
Captain America: The Winter Soldier ,576,136,94,2000,19000,259746958,Action|Adventure|Sci-Fi,496749,36188,1,742,USA,PG-13,170000000,2014,11000,7.8,2.35,55000
Shrek Forever After ,226,93,31,213,4000,238371987,Adventure|Animation|Comedy|Family|Fantasy,138661,4628,2,173,USA,PG,165000000,2010,225,6.4,2.35,0
Tomorrowland ,443,130,663,604,2000,93417865,Action|Adventure|Family|Mystery|Sci-Fi,128306,5046,2,497,USA,PG,190000000,2015,638,6.5,2.2,37000
Big Hero 6 ,384,102,38,562,756,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,279093,2963,0,433,USA,PG,165000000,2014,719,7.9,2.39,41000
Wreck-It Ralph ,377,101,66,833,975,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,272534,4451,1,345,USA,PG,165000000,2012,931,7.8,2.35,40000
The Polar Express ,188,100,0,267,15000,665426,Adventure|Animation|Family|Fantasy,120798,16264,0,444,USA,G,165000000,2004,726,6.6,2.35,10000
Independence Day: Resurgence ,286,120,776,535,890,102315545,Action|Adventure|Sci-Fi,58137,3233,0,520,USA,PG-13,165000000,2016,812,5.5,2.35,67000
How to Train Your Dragon ,288,98,255,759,18000,217387997,Adventure|Animation|Family|Fantasy,485430,20453,0,492,USA,PG,165000000,2010,953,8.2,2.35,33000
Terminator 3: Rise of the Machines ,280,109,84,191,648,150350192,Action|Sci-Fi,305340,1769,0,1676,USA,R,200000000,2003,284,6.4,2.35,0
Guardians of the Galaxy ,653,121,571,3000,14000,333130696,Action|Adventure|Sci-Fi,682155,32438,3,1097,USA,PG-13,170000000,2014,14000,8.1,2.35,96000
Interstellar ,712,169,22000,6000,11000,187991439,Adventure|Drama|Sci-Fi,928227,31488,1,2725,USA,PG-13,165000000,2014,11000,8.6,2.35,349000
Inception ,642,148,22000,23000,29000,292568851,Action|Adventure|Sci-Fi|Thriller,1468200,81115,0,2803,USA,PG-13,160000000,2010,27000,8.8,2.35,175000
Godzilla Resurgence ,1,120,28,12,544,,Action|Adventure|Drama|Horror|Sci-Fi,374,699,0,13,Japan,,,2016,106,8.2,2.35,0
The Hobbit: An Unexpected Journey ,645,182,0,773,5000,303001229,Adventure|Fantasy,637246,9152,,1367,USA,PG-13,180000000,2012,972,7.9,2.35,166000
The Fast and the Furious ,187,106,357,4000,23000,144512310,Action|Crime|Thriller,272223,45327,2,988,USA,PG-13,38000000,2001,14000,6.7,2.35,14000
The Curious Case of Benjamin Button ,362,166,21000,919,11000,127490802,Drama|Fantasy|Romance,459346,13333,2,822,USA,PG-13,150000000,2008,1000,7.8,2.35,23000
X-Men: First Class ,500,132,905,1000,34000,146405371,Action|Adventure|Sci-Fi,518537,50983,3,698,USA,PG-13,160000000,2011,13000,7.8,2.35,54000
The Hunger Games: Mockingjay - Part 2 ,389,137,508,14000,34000,281666058,Adventure|Sci-Fi,166137,81385,1,383,USA,PG-13,160000000,2015,22000,6.6,2.35,38000
The Sorcerer's Apprentice ,235,109,226,370,12000,63143812,Action|Adventure|Family|Fantasy,124185,13388,0,238,USA,PG,150000000,2010,418,6.1,2.35,11000
Poseidon ,231,98,249,702,87000,60655503,Action|Adventure|Drama|Thriller,82380,92456,0,629,USA,PG-13,160000000,2006,2000,5.6,2.35,0
Alice Through the Looking Glass ,218,113,33,11000,40000,76846624,Adventure|Family|Fantasy,21352,80806,1,131,USA,PG,170000000,2016,25000,6.4,1.85,30000
Shrek the Third ,227,93,50,692,3000,320706665,Adventure|Animation|Comedy|Family|Fantasy,211971,4705,2,326,USA,PG,160000000,2007,795,6.1,1.85,0
Warcraft ,275,123,0,648,3000,46978995,Action|Adventure|Fantasy,111609,5505,0,781,USA,PG-13,160000000,2016,716,7.3,2.35,89000
Terminator Genisys ,474,126,230,2000,24000,89732035,Action|Adventure|Sci-Fi,188457,38873,2,867,USA,PG-13,155000000,2015,10000,6.6,2.35,82000
The Chronicles of Narnia: The Voyage of the Dawn Treader ,228,113,150,59,531,104383624,Adventure|Family|Fantasy,106446,764,4,227,USA,PG,155000000,2010,82,6.3,1.78,11000
Pearl Harbor ,191,184,0,691,3000,198539855,Action|Drama|History|Romance|War,254111,5401,0,1999,USA,PG-13,140000000,2001,961,6.1,2.35,0
Transformers ,396,144,0,581,662,318759914,Action|Adventure|Sci-Fi,513158,2333,0,1782,USA,PG-13,150000000,2007,599,7.1,2.35,8000
Alexander ,248,206,0,591,12000,34293771,Action|Adventure|Biography|Drama|History|Romance|War,138863,24598,3,1390,Germany,R,155000000,2004,11000,5.5,2.35,0
Harry Potter and the Order of the Phoenix ,329,138,282,687,21000,292000866,Adventure|Family|Fantasy|Mystery,355137,33433,3,1108,UK,PG-13,150000000,2007,11000,7.5,2.35,0
Harry Potter and the Goblet of Fire ,295,157,179,10000,21000,289994397,Adventure|Family|Fantasy|Mystery,385670,53413,1,1896,UK,PG-13,150000000,2005,11000,7.6,2.35,0
Hancock ,318,102,532,979,10000,227946274,Action|Drama,343648,21584,0,590,USA,PG-13,150000000,2008,9000,6.4,2.35,0
I Am Legend ,323,104,508,558,10000,256386216,Drama|Horror|Sci-Fi,530870,13076,0,1413,USA,PG-13,150000000,2007,1000,7.2,2.35,11000
Charlie and the Chocolate Factory ,276,115,13000,588,40000,206456431,Adventure|Comedy|Family|Fantasy,320284,57844,3,1361,USA,PG,150000000,2005,16000,6.7,1.85,0
Ratatouille ,318,111,663,954,1000,206435493,Animation|Comedy|Family|Fantasy,473887,4764,0,626,USA,G,150000000,2007,1000,8,2.35,10000
Batman Begins ,478,128,22000,11000,23000,205343774,Action|Adventure,980946,59558,0,2685,USA,PG-13,150000000,2005,14000,8.3,2.35,15000
Madagascar: Escape 2 Africa ,167,89,35,436,1000,179982968,Action|Adventure|Animation|Comedy|Family,146019,3285,0,119,USA,PG,150000000,2008,851,6.7,1.85,0
Night at the Museum: Battle of the Smithsonian ,185,105,189,1000,49000,177243721,Adventure|Comedy|Family|Fantasy,130272,54039,2,209,USA,PG,150000000,2009,3000,5.9,2.35,2000
X-Men Origins: Wolverine ,350,119,151,2000,20000,179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,361924,40054,0,641,USA,PG-13,150000000,2009,16000,6.7,2.35,0
The Matrix Revolutions ,245,129,0,233,309,139259759,Action|Sci-Fi,364948,1062,0,2121,Australia,R,150000000,2003,269,6.7,2.35,0
Frozen ,406,102,69,490,1000,400736600,Adventure|Animation|Comedy|Family|Fantasy|Musical,421658,2582,0,904,USA,PG,150000000,2013,523,7.6,2.24,58000
The Matrix Reloaded ,275,138,0,30,234,281492479,Action|Sci-Fi,421818,534,0,2789,USA,R,150000000,2003,198,7.2,2.35,0
Thor: The Dark World ,486,112,230,12000,26000,206360018,Action|Adventure|Fantasy,414070,59803,3,532,USA,PG-13,170000000,2013,20000,7.1,2.35,63000
Mad Max: Fury Road ,739,120,750,943,27000,153629485,Action|Adventure|Sci-Fi|Thriller,552503,40025,0,1588,Australia,R,150000000,2015,9000,8.1,2.35,191000
Angels & Demons ,298,146,2000,294,15000,133375846,Mystery|Thriller,207839,16948,2,435,USA,PG-13,150000000,2009,745,6.7,2.35,0
Thor ,516,115,0,12000,26000,181015141,Action|Adventure|Fantasy,536314,60059,1,738,USA,PG-13,150000000,2011,20000,7,2.35,63000
Bolt ,225,96,59,699,17000,114053579,Adventure|Animation|Comedy|Drama|Family,146766,20007,0,178,USA,PG,150000000,2008,759,6.9,1.85,0
G-Force ,145,88,12,182,730,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,33042,2217,0,90,USA,PG,150000000,2009,607,5.1,2.35,0
Wrath of the Titans ,310,99,473,502,14000,83640426,Action|Adventure|Fantasy,152826,16184,0,253,USA,PG-13,150000000,2012,897,5.8,1.85,19000
Dark Shadows ,526,113,13000,16000,40000,79711678,Comedy|Fantasy|Horror,199039,80849,7,479,USA,PG-13,100000000,2012,17000,6.2,1.85,82000
Mission: Impossible - Rogue Nation ,465,131,188,641,10000,195000874,Action|Adventure|Thriller,232187,21840,0,440,China,PG-13,150000000,2015,10000,7.4,2.35,47000
The Wolfman ,357,119,394,162,12000,61937495,Drama|Fantasy|Horror|Thriller,89442,13071,0,432,USA,R,150000000,2010,490,5.8,1.85,0
The Legend of Tarzan ,248,110,282,103,11000,124051759,Action|Adventure|Drama|Romance,42372,21175,2,239,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
Bee Movie ,194,91,58,826,2000,126597121,Adventure|Animation|Comedy|Family,105902,6576,0,206,USA,PG,150000000,2007,852,6.2,1.85,0
Kung Fu Panda 2 ,284,90,90,15,11000,165230261,Action|Adventure|Animation|Comedy|Family,182718,21015,0,209,USA,PG,150000000,2011,10000,7.3,2.35,20000
The Last Airbender ,280,103,0,346,1000,131564731,Action|Adventure|Family|Fantasy,118951,2857,0,1382,USA,PG,150000000,2010,756,4.2,2.35,18000
Mission: Impossible III ,310,124,14000,979,22000,133382309,Action|Adventure|Thriller,256695,34817,0,871,USA,PG-13,150000000,2006,10000,6.9,2.35,0
White House Down ,339,131,776,256,17000,73103784,Action|Drama|Thriller,164238,18204,2,434,USA,PG-13,150000000,2013,551,6.4,2.35,33000
Mars Needs Moms ,132,88,25,433,921,21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,17590,2652,0,112,USA,PG,150000000,2011,562,5.4,2.35,0
Flushed Away ,135,85,42,586,20000,64459316,Adventure|Animation|Comedy|Family,85086,35161,0,122,UK,PG,149000000,2006,14000,6.7,1.85,0
Pan ,256,111,456,394,20000,34964818,Adventure|Family|Fantasy,39956,21393,4,186,USA,PG,150000000,2015,548,5.8,2.35,24000
Mr. Peabody & Sherman ,196,92,50,517,3000,111505642,Adventure|Animation|Comedy|Family|Sci-Fi,47900,5810,2,130,USA,PG,145000000,2014,1000,6.9,1.85,11000
Troy ,220,196,249,844,11000,133228348,Adventure,381672,17944,2,1694,USA,R,175000000,2004,5000,7.2,2.35,0
Madagascar 3: Europe's Most Wanted ,211,93,35,436,851,216366733,Adventure|Animation|Comedy|Family,119213,2444,0,154,USA,PG,145000000,2012,770,6.9,1.85,17000
Die Another Day ,264,133,93,746,769,160201106,Action|Adventure|Thriller,169914,2538,0,1185,UK,PG-13,142000000,2002,766,6.1,2.35,0
Ghostbusters ,464,116,176,322,783,118099659,Action|Comedy|Fantasy|Sci-Fi,69757,2097,4,1211,USA,PG-13,144000000,2016,370,5.5,2.35,62000
Armageddon ,167,153,0,537,13000,201573391,Action|Adventure|Sci-Fi|Thriller,322395,26029,0,1171,USA,PG-13,140000000,1998,12000,6.6,2.35,11000
Men in Black II ,208,88,188,826,10000,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,270207,14823,2,606,USA,PG-13,140000000,2002,3000,6.1,1.85,2000
Beowulf ,287,115,0,964,18000,82161969,Action|Adventure|Animation|Fantasy,142440,31523,1,505,USA,PG-13,150000000,2007,12000,6.3,2.35,3000
Kung Fu Panda 3 ,210,95,5,967,24000,143523463,Action|Adventure|Animation|Comedy|Family,64322,36095,0,145,USA,PG,145000000,2016,11000,7.2,2.35,24000
Mission: Impossible - Ghost Protocol ,432,133,663,690,10000,209364921,Action|Adventure|Thriller,365104,21768,3,512,USA,PG-13,145000000,2011,10000,7.4,2.35,35000
Rise of the Guardians ,256,97,52,161,20000,103400692,Adventure|Animation|Family|Fantasy,123553,20645,0,174,USA,PG,145000000,2012,315,7.3,1.85,25000
Fun with Dick and Jane ,135,90,23,233,957,110332737,Comedy|Crime,110788,1997,1,258,USA,PG-13,100000000,2005,550,6.1,2.35,2000
The Last Samurai ,190,154,380,445,10000,111110575,Action|Drama|History|War,317166,11945,1,928,USA,R,140000000,2003,956,7.7,2.35,0
Exodus: Gods and Kings ,314,150,0,748,23000,65007045,Action|Adventure|Drama,128682,26490,0,657,UK,PG-13,140000000,2014,893,6.1,2.35,51000
Star Trek ,518,127,14000,981,26000,257704099,Action|Adventure|Sci-Fi,504419,39284,0,1559,USA,PG-13,150000000,2009,12000,8,2.35,19000
Spider-Man ,291,121,0,4000,24000,403706375,Action|Adventure|Fantasy|Romance,544665,40484,0,2012,USA,PG-13,139000000,2002,11000,7.3,1.85,5000
How to Train Your Dragon 2 ,292,102,255,953,18000,176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,221128,23378,5,343,USA,PG,145000000,2014,3000,7.9,2.35,46000
Gods of Egypt ,184,126,295,284,18000,31141074,Action|Adventure|Fantasy,51892,19769,4,273,USA,PG-13,140000000,2016,934,5.5,2.35,24000
Stealth ,145,121,357,653,820,31704416,Action|Adventure|Sci-Fi|Thriller,45455,2705,0,388,USA,PG-13,135000000,2005,780,5,2.35,0
Watchmen ,451,215,0,413,986,107503316,Action|Drama|Mystery|Sci-Fi,392474,2530,1,1229,USA,R,130000000,2009,745,7.7,2.35,18000
Lethal Weapon 4 ,141,127,503,91,5000,129734803,Action|Crime|Thriller,127497,6171,2,287,USA,R,140000000,1998,808,6.6,2.35,0
Hulk ,267,138,0,258,820,132122995,Action|Sci-Fi,212106,1814,0,1445,USA,PG-13,137000000,2003,300,5.7,1.85,0
